time_index,month_sin,month_cos,region_to,subdivision,category,q1,q2,q3,q4,holiday_period,revenue_total
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Аксессуары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Аксессуары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Аксессуары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Аксессуары,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Вкусные наборы,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Вкусные наборы,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Вкусные наборы,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Вкусные наборы,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Воздушные шары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Воздушные шары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Воздушные шары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Воздушные шары,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Декор,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Декор,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Декор,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Декор,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Кондитерские и пекарни,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Кондитерские и пекарни,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Кондитерские и пекарни,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Кондитерские и пекарни,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Магазины чая и кофе,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Магазины чая и кофе,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Магазины чая и кофе,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Магазины чая и кофе,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Подарочные сертификаты,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Подарочные сертификаты,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Подарочные сертификаты,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Подарочные сертификаты,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Посуда,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Посуда,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Посуда,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Посуда,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Продукты и напитки,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Продукты и напитки,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Продукты и напитки,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Продукты и напитки,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Съедобные букеты,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Съедобные букеты,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Съедобные букеты,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Съедобные букеты,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Товары для праздника,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Товары для праздника,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Товары для праздника,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Товары для праздника,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Украшения,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Украшения,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Украшения,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Украшения,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Комнатные растения,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Комнатные растения,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Комнатные растения,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Комнатные растения,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Цветы,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,brand,Цветы,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,brand,Цветы,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,brand,Цветы,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Аксессуары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Аксессуары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Аксессуары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Аксессуары,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Вкусные наборы,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Вкусные наборы,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Вкусные наборы,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Вкусные наборы,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Воздушные шары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Воздушные шары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Воздушные шары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Воздушные шары,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Декор,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Декор,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Декор,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Декор,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Для дома,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Для дома,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Для дома,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Для дома,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Другое,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Другое,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Другое,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Другое,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Канцелярские товары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Канцелярские товары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Канцелярские товары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Канцелярские товары,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Картины,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Картины,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Картины,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Картины,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Книги,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Книги,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Книги,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Книги,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Кондитерские и пекарни,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Кондитерские и пекарни,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Кондитерские и пекарни,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Кондитерские и пекарни,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Косметика и парфюмерия,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Косметика и парфюмерия,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Косметика и парфюмерия,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Косметика и парфюмерия,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Магазины чая и кофе,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Магазины чая и кофе,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Магазины чая и кофе,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Магазины чая и кофе,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Одежда,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Одежда,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Одежда,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Одежда,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Одежда для детей,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Одежда для детей,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Одежда для детей,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Одежда для детей,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Подарочные сертификаты,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Подарочные сертификаты,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Подарочные сертификаты,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Подарочные сертификаты,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Посуда,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Посуда,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Посуда,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Посуда,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Продукты и напитки,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Продукты и напитки,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Продукты и напитки,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Продукты и напитки,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Съедобные букеты,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Съедобные букеты,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Съедобные букеты,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Съедобные букеты,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Товары для праздника,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Товары для праздника,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Товары для праздника,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Товары для праздника,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Украшения,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Украшения,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Украшения,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Украшения,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Хендмейд и хобби,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Хендмейд и хобби,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Хендмейд и хобби,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Хендмейд и хобби,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Комнатные растения,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Комнатные растения,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Комнатные растения,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Комнатные растения,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_apps,Цветы,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_apps,Цветы,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_apps,Цветы,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_apps,Цветы,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Аксессуары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Аксессуары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Аксессуары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Аксессуары,0,0,0,1,1,6132765.585616577
