year,month,Quarter,Halfyear,region_to,is_global,subdivision,is_paid,category,KEY_clean,is_flowers,Сумма по полю distributed_ads_cost,revenue_first_transactions,revenue_repeat_transactions,revenue_total,Сумма по полю first_traffic,Сумма по полю repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost
2024,1,Q1,H1,cis,,brand,paid,Аксессуары,,non_flowers,,,,0,1,,1,,,0,,,,,0
2024,1,Q1,H1,cis,,brand,paid,Вкусные наборы,,non_flowers,,,"1,980","1,980",,,0,,1,1,,,200,,200
2024,1,Q1,H1,cis,,brand,paid,Воздушные шары,,non_flowers,,,"4,152","4,152",,,0,,1,1,,,68,,68
2024,1,Q1,H1,cis,,brand,paid,Декор,,non_flowers,,,"2,566","2,566",3,12,15,,1,1,,,,,0
2024,1,Q1,H1,cis,,brand,paid,Кондитерские и пекарни,,non_flowers,,5857,"22,255","28,112",71,122,193,3,7,10,,,740,195,935
2024,1,Q1,H1,cis,,brand,paid,Магазины чая и кофе,,non_flowers,,,,0,3,1,4,,,0,,,,,0
2024,1,Q1,H1,cis,,brand,paid,Подарочные сертификаты,,non_flowers,,,,0,,2,2,,,0,,,,,0
2024,1,Q1,H1,cis,,brand,paid,Посуда,,non_flowers,,,,0,1,14,15,,,0,,,,,0
2024,1,Q1,H1,cis,,brand,paid,Продукты и напитки,,non_flowers,,,2470,2470,,6,6,,1,1,,,44,,44
2024,1,Q1,H1,cis,,brand,paid,Съедобные букеты,,non_flowers,,4152,13621,17773,,,0,1,2,3,,,711,4538,5249
2024,1,Q1,H1,cis,,brand,paid,Товары для праздника,,non_flowers,,,,0,2,1,3,,,0,,,,,0
2024,1,Q1,H1,cis,,brand,paid,Украшения,,non_flowers,,,,0,3,13,16,,,0,,,,,0
2024,1,Q1,H1,cis,,brand,paid,N/A,,non_flowers,,,,0,,,0,,,0,118200,,,,118200
2024,1,Q1,H1,cis,,brand,paid,Комнатные растения,,non_flowers,,2544,387,2931,16,6,22,1,,1,,,,387,387
2024,1,Q1,H1,cis,,brand,paid,Цветы,,flowers,,94480,122159,216639,128,457,585,22,25,47,,,2851,11801,14652
2024,1,Q1,H1,cis,,organic_apps,non_paid,Аксессуары,,non_flowers,,,,0,6,13,19,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Вкусные наборы,,non_flowers,,,"15,655","15,655",,,0,,3,3,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Воздушные шары,,non_flowers,,13768,"29,674","43,442",,,0,3,8,11,,,,998,998
2024,1,Q1,H1,cis,,organic_apps,non_paid,Декор,,non_flowers,,1965,"7,234","9,199",21,121,142,1,3,4,,,,41,41
2024,1,Q1,H1,cis,,organic_apps,non_paid,Для дома,,non_flowers,,,,0,,3,3,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Другое,,non_flowers,,,,0,1,4,5,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Канцелярские товары,,non_flowers,,,,0,,1,1,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Картины,,non_flowers,,,,0,2,5,7,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Книги,,non_flowers,,,,0,1,1,2,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Кондитерские и пекарни,,non_flowers,,"86,815","283,103","369,918",502,2474,2976,28,91,119,,,6605,13295,19900
2024,1,Q1,H1,cis,,organic_apps,non_paid,Косметика и парфюмерия,,non_flowers,,,7,7,9,14,23,,1,1,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Магазины чая и кофе,,non_flowers,,,,0,3,41,44,,,0,,,,,0
2024,1,Q1,H1,cis,,organic_apps,non_paid,Одежда,,non_flowers,,,,0,1,4,5,,,0,,,,,0
