time_index,month_sin,month_cos,region_to,subdivision,category,is_paid,q1,q2,q3,q4,holiday_period,region_encoded,subdivision_encoded,category_encoded,is_paid_encoded,ads_cost,traffic_total,transacitons_total,revenue_total,first_transactions,repeat_transactions,revenue_first_transactions,revenue_repeat_transactions,bonus_company,promo_cost,mar_cost
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Аксессуары,paid,0,0,1,0,0,1,0,1,1,1374095.4339565537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502123.6054377924
33,-1.0,-1.8369701987210297e-16,cis,brand,Аксессуары,paid,0,0,0,1,0,1,0,1,1,2197279.005479047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685881.7856260864
34,-0.8660254037844386,0.5000000000000001,cis,brand,Аксессуары,paid,0,0,0,1,0,1,0,1,1,1781492.6672670196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608466.4385449506
35,-0.5000000000000004,0.8660254037844384,cis,brand,Аксессуары,paid,0,0,0,1,1,1,0,1,1,1177879.6245182944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489594.8203100955
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Вкусные наборы,paid,0,0,1,0,0,1,0,2,1,1356598.424962475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507680.73029469093
33,-1.0,-1.8369701987210297e-16,cis,brand,Вкусные наборы,paid,0,0,0,1,0,1,0,2,1,2179781.9964849683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691438.9104829851
34,-0.8660254037844386,0.5000000000000001,cis,brand,Вкусные наборы,paid,0,0,0,1,0,1,0,2,1,1763995.6582729407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614023.5634018492
35,-0.5000000000000004,0.8660254037844384,cis,brand,Вкусные наборы,paid,0,0,0,1,1,1,0,2,1,1160382.6155242156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495151.9451669941
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Воздушные шары,paid,0,0,1,0,0,1,0,3,1,1339101.4159683962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513237.85515158955
33,-1.0,-1.8369701987210297e-16,cis,brand,Воздушные шары,paid,0,0,0,1,0,1,0,3,1,2162284.9874908896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696996.0353398836
34,-0.8660254037844386,0.5000000000000001,cis,brand,Воздушные шары,paid,0,0,0,1,0,1,0,3,1,1746498.649278862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619580.6882587478
35,-0.5000000000000004,0.8660254037844384,cis,brand,Воздушные шары,paid,0,0,0,1,1,1,0,3,1,1142885.606530137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500709.0700238927
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Декор,paid,0,0,1,0,0,1,0,4,1,1321604.4069743173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518794.9800084882
33,-1.0,-1.8369701987210297e-16,cis,brand,Декор,paid,0,0,0,1,0,1,0,4,1,2144787.9784968104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702553.1601967823
34,-0.8660254037844386,0.5000000000000001,cis,brand,Декор,paid,0,0,0,1,0,1,0,4,1,1729001.640284783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625137.8131156464
35,-0.5000000000000004,0.8660254037844384,cis,brand,Декор,paid,0,0,0,1,1,1,0,4,1,1125388.597536058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506266.19488079136
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Кондитерские и пекарни,paid,0,0,1,0,0,1,0,13,1,1164131.326027608,4482.878529051189,299.5005594155906,1884780.3912207317,32.643181875754124,262.28048617182077,0.0,542863.7851444217,0.0,5817.292348923118,568809.1037205756
33,-1.0,-1.8369701987210297e-16,cis,brand,Кондитерские и пекарни,paid,0,0,0,1,0,1,0,13,1,1987314.8975501012,8011.7831127517675,633.1279937187732,3802006.4260885254,155.75006073486875,541.81752877674,178739.75263890752,921318.3945884882,3162.8655663041573,14826.356617243015,752567.2839088697
34,-0.8660254037844386,0.5000000000000001,cis,brand,Кондитерские и пекарни,paid,0,0,0,1,0,1,0,13,1,1571528.5593380737,6716.30570474469,452.9848537089784,2916892.072353548,93.02344217053323,395.8259098267908,0.0,346350.42817062,0.0,0.0,675151.9368277339
