level,group,metric,forecast,confidence
level_1_region_to,belarus,revenue_ft,45043.7421875,0.7
level_1_region_to,belarus,revenue_rt,1707400.875,0.7
level_1_region_to,cis,revenue_ft,426471.75,0.7
level_1_region_to,cis,revenue_rt,1961869.5,0.7
level_1_region_to,mena,revenue_ft,523929.03125,0.7
level_1_region_to,mena,revenue_rt,2517509.75,0.7
level_1_region_to,nan,revenue_ft,0.0,0.7
level_1_region_to,nan,revenue_rt,0.0,0.7
level_1_region_to,other,revenue_ft,194161.609375,0.7
level_1_region_to,other,revenue_rt,1924166.125,0.7
level_1_region_to,russia,revenue_ft,-0.25603434443473816,0.7
level_1_region_to,russia,revenue_rt,-0.5385754704475403,0.7
level_1_region_to,spain,revenue_ft,61666.92578125,0.7
level_1_region_to,spain,revenue_rt,800008.5,0.7
level_1_region_to,turkey,revenue_ft,53254.90625,0.7
level_1_region_to,turkey,revenue_rt,610272.1875,0.7
level_1_region_to,uk,revenue_ft,62815.03515625,0.7
level_1_region_to,uk,revenue_rt,403320.90625,0.7
level_2_category,Sexualwellness,revenue_ft,0.0,0.7
level_2_category,Sexualwellness,revenue_rt,-15.496153831481934,0.7
level_2_category,nan,revenue_ft,0.0,0.7
level_2_category,nan,revenue_rt,0.0,0.7
level_2_category,Аксессуары,revenue_ft,0.0,0.7
level_2_category,Аксессуары,revenue_rt,0.0,0.7
level_2_category,Вкусныенаборы,revenue_ft,0.0,0.7
level_2_category,Вкусныенаборы,revenue_rt,4996.8486328125,0.7
level_2_category,Воздушныешары,revenue_ft,0.0,0.7
level_2_category,Воздушныешары,revenue_rt,29357.515625,0.7
level_2_category,Декор,revenue_ft,0.0,0.7
level_2_category,Декор,revenue_rt,-1.4052573442459106,0.7
level_2_category,Длядома,revenue_ft,0.0,0.7
level_2_category,Длядома,revenue_rt,0.0,0.7
level_2_category,Другое,revenue_ft,0.0,0.7
level_2_category,Другое,revenue_rt,0.0,0.7
level_2_category,Зоотовары,revenue_ft,0.0,0.7
level_2_category,Зоотовары,revenue_rt,-4.0214667320251465,0.7
level_2_category,Игрушкишары,revenue_ft,0.0,0.7
level_2_category,Игрушкишары,revenue_rt,0.0,0.7
level_2_category,Канцелярскиетовары,revenue_ft,0.0,0.7
level_2_category,Канцелярскиетовары,revenue_rt,0.0,0.7
level_2_category,Картины,revenue_ft,0.0,0.7
level_2_category,Картины,revenue_rt,0.0,0.7
level_2_category,Книги,revenue_ft,0.0,0.7
level_2_category,Книги,revenue_rt,0.0,0.7
level_2_category,Комнатныерастения,revenue_ft,-1.327073574066162,0.7
level_2_category,Комнатныерастения,revenue_rt,6923.40771484375,0.7
level_2_category,Кондитерскиеипекарни,revenue_ft,2114.124755859375,0.7
level_2_category,Кондитерскиеипекарни,revenue_rt,229499.828125,0.7
level_2_category,Косметикаипарфюмерия,revenue_ft,0.0,0.7
level_2_category,Косметикаипарфюмерия,revenue_rt,2127.423095703125,0.7
level_2_category,Магазинычаяикофе,revenue_ft,0.0,0.7
level_2_category,Магазинычаяикофе,revenue_rt,0.0,0.7
level_2_category,Обувь,revenue_ft,0.0,0.7
level_2_category,Обувь,revenue_rt,0.0,0.7
level_2_category,Одежда,revenue_ft,0.0,0.7
level_2_category,Одежда,revenue_rt,0.0,0.7
level_2_category,Одеждадлядетей,revenue_ft,0.0,0.7
level_2_category,Одеждадлядетей,revenue_rt,0.0,0.7
level_2_category,Одеждаобувь,revenue_ft,0.0,0.0
level_2_category,Одеждаобувь,revenue_rt,0.0,0.0
level_2_category,Опт,revenue_ft,0.0,0.7
level_2_category,Опт,revenue_rt,0.0,0.7
level_2_category,Подарки,revenue_ft,0.0,0.7
level_2_category,Подарки,revenue_rt,0.0,0.7
level_2_category,Подарочныенаборы,revenue_ft,0.0,0.7
level_2_category,Подарочныенаборы,revenue_rt,0.0,0.7
level_2_category,Подарочныесертификаты,revenue_ft,0.0,0.7
level_2_category,Подарочныесертификаты,revenue_rt,0.0,0.7
level_2_category,Посуда,revenue_ft,0.0,0.7
level_2_category,Посуда,revenue_rt,0.0,0.7
level_2_category,Продуктыинапитки,revenue_ft,0.0,0.7
level_2_category,Продуктыинапитки,revenue_rt,-3.4022037982940674,0.7
level_2_category,Съедобныебукеты,revenue_ft,3240.5078125,0.7
level_2_category,Съедобныебукеты,revenue_rt,50080.6875,0.7
level_2_category,Товарыдляпраздника,revenue_ft,0.0,0.7
level_2_category,Товарыдляпраздника,revenue_rt,7142.5205078125,0.7
level_2_category,Украшения,revenue_ft,0.0,0.7
level_2_category,Украшения,revenue_rt,1652.9466552734375,0.7
level_2_category,Хендмейдихобби,revenue_ft,0.0,0.7
level_2_category,Хендмейдихобби,revenue_rt,-3.341028928756714,0.7
level_2_category,Цветы,revenue_ft,45009.85546875,0.7
level_2_category,Цветы,revenue_rt,1707805.875,0.7
level_2_category,Цветыдлякитов,revenue_ft,0.0,0.7
level_2_category,Цветыдлякитов,revenue_rt,0.0,0.7
level_3_subdivision,brand,revenue_ft,0.0,0.7
level_3_subdivision,brand,revenue_rt,0.0,0.7
level_3_subdivision,nan,revenue_ft,0.0,0.7
level_3_subdivision,nan,revenue_rt,0.0,0.7
level_3_subdivision,organic_apps,revenue_ft,2415407.0,0.7
level_3_subdivision,organic_apps,revenue_rt,9025972.0,0.7
level_3_subdivision,organic_web,revenue_ft,1279175.75,0.7
level_3_subdivision,organic_web,revenue_rt,1397074.375,0.7
level_3_subdivision,other,revenue_ft,1890263.625,0.7
level_3_subdivision,other,revenue_rt,1336658.125,0.7
level_3_subdivision,paid_apps,revenue_ft,1320906.625,0.7
level_3_subdivision,paid_apps,revenue_rt,4439329.5,0.7
level_3_subdivision,paid_web,revenue_ft,2210134.5,0.7
level_3_subdivision,paid_web,revenue_rt,1442102.0,0.7
level_3_subdivision,partners,revenue_ft,178039.890625,0.7
level_3_subdivision,partners,revenue_rt,286755.78125,0.7
level_3_subdivision,retention,revenue_ft,45045.83203125,0.7
level_3_subdivision,retention,revenue_rt,1707480.5,0.7
