year,month,region_to,subdivision,category,revenue_first_transactions,revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,is_forecast,Quarter,Halfyear
2026,9,belarus,brand,nan,12.98701495726496,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,nan,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,nan,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,nan,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Декор,12.98701495726496,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Декор,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Декор,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Декор,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Комнатныерастения,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Комнатныерастения,115.31881257631258,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Комнатныерастения,18.57471138583638,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Комнатныерастения,18.920389957264952,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Кондитерскиеипекарни,7432.331031127862,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Кондитерскиеипекарни,11167.856492459152,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Кондитерскиеипекарни,9705.405018917625,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Кондитерскиеипекарни,8466.041546619092,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Подарочныесертификаты,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Подарочныесертификаты,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Подарочныесертификаты,12.64133638583639,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Подарочныесертификаты,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Посуда,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Посуда,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Посуда,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Посуда,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Украшения,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Украшения,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Украшения,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Украшения,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Хендмейдихобби,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Хендмейдихобби,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Хендмейдихобби,12.64133638583639,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Хендмейдихобби,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,brand,Цветы,153949.26249873734,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,brand,Цветы,174428.5358181818,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,brand,Цветы,158656.68888365797,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,brand,Цветы,156388.2387943722,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Аксессуары,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Аксессуары,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Аксессуары,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Аксессуары,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Вкусныенаборы,2479.1087298881666,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Вкусныенаборы,2823.9255069444434,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Вкусныенаборы,2487.6275334168754,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Вкусныенаборы,5936.125439475982,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Воздушныешары,5159.712505710924,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Воздушныешары,5145.408102059977,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Воздушныешары,4335.851191817685,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Воздушныешары,4624.44486055865,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Декор,860.3053977417543,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Декор,2527.4748129296486,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Декор,3220.7834887475697,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Декор,3163.516885933716,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Картины,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Картины,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Картины,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Картины,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Комнатныерастения,21684.5749229798,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Комнатныерастения,23759.046597222215,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Комнатныерастения,22296.476415764788,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Комнатныерастения,23143.482763888882,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Кондитерскиеипекарни,180707.27713888892,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Кондитерскиеипекарни,219148.65003499272,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Кондитерскиеипекарни,141564.1706269841,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Кондитерскиеипекарни,175208.68877453104,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Косметикаипарфюмерия,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Косметикаипарфюмерия,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
