year,month,Quarter,Halfyear,region_to,is_global,subdivision,is_paid,category,KEY_clean,is_flowers,distributed_ads_cost,revenue_first_transactions,revenue_repeat_transactions,revenue_total,first_traffic,repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost
2023,9,Q3,H2,russia,,brand,paid,Аксессуары,,non_flowers,,923,233,1156,49,142,191,2,,2,,,200,33,233
2023,9,Q3,H2,russia,,brand,paid,Вкусные наборы,,non_flowers,,"9,398","37,282","46,680",,,0,4.4706975,7.7113539,12.1820514,,,156,8898,9054
2023,9,Q3,H2,russia,,brand,paid,Воздушные шары,,non_flowers,,"49,024","103,353","152,377",,,0,20.51979124,33.2500473,53.76983854,,,2840.8333,5917.6667,8758.5
2023,9,Q3,H2,russia,,brand,paid,Декор,,non_flowers,,"3,703","31,086","34,789",202,791,993,6,15.3333333,21.3333333,,,776.8333,9130,9906.8333
2023,9,Q3,H2,russia,,brand,paid,Для дома,,non_flowers,,298,"1,500","1,798",10,68,78,0.5,,0.5,,,,1500,1500
2023,9,Q3,H2,russia,,brand,paid,Другое,,non_flowers,,,,0,1,2,3,,,0,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Зоотовары,,non_flowers,,,,0,4,12,16,,,0,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Канцелярские товары,,non_flowers,,,,0,10,24,34,,,0,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Картины,,non_flowers,,409,499,908,19,90,109,0.1465378,0.184354,0.3308918,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Книги,,non_flowers,,,,0,10,13,23,,,0,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Кондитерские и пекарни,,non_flowers,,"493,209","1,138,860","1,632,069",2518,11386,13904,244.3766803,465.6795669,710.0562472,275487.3786,,44143.5,84182,403812.8786
2023,9,Q3,H2,russia,,brand,paid,Косметика и парфюмерия,,non_flowers,,,"16,126","16,126",91,264,355,,6,6,,,286,7113,7399
2023,9,Q3,H2,russia,,brand,paid,Магазины чая и кофе,,non_flowers,,"3,998","13,004","17,002",119,260,379,2.9225592,2.816482,5.7390412,,,,1631,1631
2023,9,Q3,H2,russia,,brand,paid,Обувь,,non_flowers,,,,0,3,11,14,,,0,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Одежда,,non_flowers,,719,470,1189,27,49,76,0.2621154,0.1456197,0.4077351,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Одежда для детей,,non_flowers,,217,"3,000","3,217",3,11,14,1,,1,,,,3000,3000
2023,9,Q3,H2,russia,,brand,paid,Подарочные сертификаты,,non_flowers,,"18,816","33,472","52,288",55,235,290,3.89120431,5.76428123,9.65548554,,,120,3015,3135
2023,9,Q3,H2,russia,,brand,paid,Посуда,,non_flowers,,436,"2,388","2,824",71,160,231,0.3333333,1,1.3333333,,,,137.6667,137.6667
2023,9,Q3,H2,russia,,brand,paid,Продукты и напитки,,non_flowers,,493,"6,721","7,214",68,190,258,0.8354283,2.212313,3.0477413,,,,2000,2000
2023,9,Q3,H2,russia,,brand,paid,Съедобные букеты,,non_flowers,,"394,255","524,486","918,741",,,0,141.7793938,147.7723109,289.5517047,,,13903,54424,68327
2023,9,Q3,H2,russia,,brand,paid,Товары для праздника,,non_flowers,,,,0,29,71,100,,,0,,,,,0
2023,9,Q3,H2,russia,,brand,paid,Украшения,,non_flowers,,"7,854","16,438","24,292",102,597,699,3.8639589,6.12319137,9.98715027,,,,7972,7972
2023,9,Q3,H2,russia,,brand,paid,Хендмейд и хобби,,non_flowers,,"1,525","9,128","10,653",62,149,211,0.7607669,4.2031392,4.9639061,,,,2815.6667,2815.6667
2023,9,Q3,H2,russia,,brand,paid,N/A,,non_flowers,,,,0,,,0,,,0,7033195.56,3687805,,,10721000.56
2023,9,Q3,H2,russia,,brand,paid,Комнатные растения,,non_flowers,,"120,529","163,136","283,665",924,2288,3212,41.95956328,43.88602281,85.84558609,,,2751.5,20317,23068.5
2023,9,Q3,H2,russia,,brand,paid,Цветы,,flowers,,"6,780,905","10,087,333","16,868,238",12549,57998,70547,2443.019229,3032.407092,5475.426321,114161.46,,201225.3333,628362,943748.7933
2023,9,Q3,H2,russia,,organic_apps,non_paid,Аксессуары,,non_flowers,,"2,939","124,658","127,597",342,2674,3016,1.5,29.833333,31.333333,,,4332.5,9315,13647.5
2023,9,Q3,H2,russia,,organic_apps,non_paid,Вкусные наборы,,non_flowers,,"125,939","1,111,035","1,236,974",,,0,34.494951,242.5989394,277.0938904,,,28740.50653,19908.4,48648.90653
2023,9,Q3,H2,russia,,organic_apps,non_paid,Воздушные шары,,non_flowers,,"419,660","2,945,464","3,365,124",,,0,142.1520487,859.0293978,1001.181447,,,84155.4032,39247.6169,123403.0201
2023,9,Q3,H2,russia,,organic_apps,non_paid,Декор,,non_flowers,,"33,906","533,525","567,431",1392,10548,11940,17.6666666,183.2333297,200.8999963,,,14656.49997,8142.567,22799.06697
2023,9,Q3,H2,russia,,organic_apps,non_paid,Для дома,,non_flowers,,"8,108","38,720","46,828",89,938,1027,2.3333333,8.6666663,10.9999996,,,8378.833,1068,9446.833
2023,9,Q3,H2,russia,,organic_apps,non_paid,Другое,,non_flowers,,"1,042",611,"1,653",10,37,47,0.5,0.8333333,1.3333333,,,110.33333,,110.33333
2023,9,Q3,H2,russia,,organic_apps,non_paid,Зоотовары,,non_flowers,,,,0,28,119,147,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Канцелярские товары,,non_flowers,,"1,602","11,605","13,207",74,548,622,1.5,3.25,4.75,,,4209,64,4273
2023,9,Q3,H2,russia,,organic_apps,non_paid,Картины,,non_flowers,,"11,631","44,088","55,719",220,1738,1958,2,5.9918448,7.9918448,,,689,799,1488
2023,9,Q3,H2,russia,,organic_apps,non_paid,Книги,,non_flowers,,,"11,529","11,529",43,323,366,,3.6666666,3.6666666,,,266,,266
2023,9,Q3,H2,russia,,organic_apps,non_paid,Кондитерские и пекарни,,non_flowers,,"4,614,432","24,400,364","29,014,796",25279,216337,241616,2232.403214,10829.86424,13062.26745,,,992100.8366,337874.3003,1329975.137
2023,9,Q3,H2,russia,,organic_apps,non_paid,Косметика и парфюмерия,,non_flowers,,"46,944","274,578","321,522",721,4727,5448,14.25,100.5,114.75,,,6747,5718,12465
2023,9,Q3,H2,russia,,organic_apps,non_paid,Магазины чая и кофе,,non_flowers,,"103,348","374,874","478,222",597,4711,5308,33.9335827,137.3549197,171.2885024,,,15384.8333,11089.233,26474.0663
2023,9,Q3,H2,russia,,organic_apps,non_paid,Обувь,,non_flowers,,,"1,394","1,394",7,165,172,,0.5,0.5,,,,,0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Одежда,,non_flowers,,"16,853","11,477","28,330",256,1392,1648,2.6844907,2.5,5.1844907,,,6724,,6724
2023,9,Q3,H2,russia,,organic_apps,non_paid,Одежда для детей,,non_flowers,,,,0,18,156,174,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Подарочные сертификаты,,non_flowers,,"123,503","613,848","737,351",680,5410,6090,27.49884,102.0460287,129.5448687,,,15712,11589,27301
2023,9,Q3,H2,russia,,organic_apps,non_paid,Посуда,,non_flowers,,"2,769","75,789","78,558",325,2357,2682,1.25,28.49999997,29.74999997,,,4785.8333,860.75,5646.5833
2023,9,Q3,H2,russia,,organic_apps,non_paid,Продукты и напитки,,non_flowers,,"7,562","249,435","256,997",491,3976,4467,17.97171542,75.65357407,93.62528949,,,73030.64389,8974,82004.64389
2023,9,Q3,H2,russia,,organic_apps,non_paid,Съедобные букеты,,non_flowers,,"3,572,686","13,869,599","17,442,285",,,0,1209.642093,4022.181046,5231.823139,,,399014.7507,240039.667,639054.4177
2023,9,Q3,H2,russia,,organic_apps,non_paid,Товары для праздника,,non_flowers,,"1,764","32,840","34,604",197,1429,1626,1.333333333,24.6666663,25.99999963,,,599.33333,167.33333,766.66666
2023,9,Q3,H2,russia,,organic_apps,non_paid,Украшения,,non_flowers,,"36,548","365,783","402,331",1105,8812,9917,15,101.6599628,116.6599628,,,13834,2190,16024
2023,9,Q3,H2,russia,,organic_apps,non_paid,Хендмейд и хобби,,non_flowers,,"12,482","143,341","155,823",302,2835,3137,7.5,43.965036,51.465036,,,3961.667,4046.16663,8007.83363
2023,9,Q3,H2,russia,,organic_apps,non_paid,Комнатные растения,,non_flowers,,"719,426","3,654,201","4,373,627",4732,39769,44501,200.232111,945.4002449,1145.632356,,,92059,64720.5,156779.5
2023,9,Q3,H2,russia,,organic_apps,non_paid,Цветы,,flowers,,"49,318,606","252,350,537","301,669,143",199718,1424038,1623756,16083.06254,69178.54888,85261.61142,,,7606730.987,4143417.533,11750148.52
2023,9,Q3,H2,russia,,organic_web,non_paid,Аксессуары,,non_flowers,,"6,000","2,805","8,805",459,506,965,1,2.1428571,3.1428571,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Вкусные наборы,,non_flowers,,"149,035","200,751","349,786",,,0,43.5833333,42.0833333,85.6666666,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Воздушные шары,,non_flowers,,"309,132","384,608","693,740",,,0,108.0000002,136.3499997,244.3499999,,,,2384,2384
2023,9,Q3,H2,russia,,organic_web,non_paid,Декор,,non_flowers,,"18,954","44,219","63,173",2660,5460,8120,7.6666667,16.297619,23.9642857,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Для дома,,non_flowers,,,,0,248,246,494,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Другое,,non_flowers,,,,0,126,51,177,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Зоотовары,,non_flowers,,,,0,40,39,79,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Канцелярские товары,,non_flowers,,,,0,43,37,80,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Картины,,non_flowers,,,,0,327,244,571,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Книги,,non_flowers,,,,0,301,158,459,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Кондитерские и пекарни,,non_flowers,,"3,276,979","2,971,964","6,248,943",75025,64308,139333,1517.166667,1298.549967,2815.716634,,,2161,28553.5,30714.5
2023,9,Q3,H2,russia,,organic_web,non_paid,Косметика и парфюмерия,,non_flowers,,"33,287","37,756","71,043",1104,1154,2258,14.6666667,15.166667,29.8333337,,,200,,200
2023,9,Q3,H2,russia,,organic_web,non_paid,Магазины чая и кофе,,non_flowers,,"44,992","43,090","88,082",1342,1552,2894,18,15.9,33.9,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Обувь,,non_flowers,,,,0,6,3,9,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Одежда,,non_flowers,,,"2,380","2,380",135,106,241,,1,1,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Одежда для детей,,non_flowers,,,,0,25,15,40,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Подарочные сертификаты,,non_flowers,,"9,660","44,955","54,615",998,790,1788,3,10,13,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Посуда,,non_flowers,,"7,201","8,726","15,927",636,608,1244,3,2.9761904,5.9761904,,,22,,22
2023,9,Q3,H2,russia,,organic_web,non_paid,Продукты и напитки,,non_flowers,,"9,957","9,146","19,103",1286,904,2190,2.5,3.25,5.75,,,,4432,4432
2023,9,Q3,H2,russia,,organic_web,non_paid,Съедобные букеты,,non_flowers,,"5,227,502","3,109,314","8,336,816",,,0,1730.833333,951.21663,2682.049963,,,2899,6661,9560
2023,9,Q3,H2,russia,,organic_web,non_paid,Товары для праздника,,non_flowers,,"1,685","5,818","7,503",397,308,705,1,3.3333333,4.3333333,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Украшения,,non_flowers,,"9,387","25,414","34,801",1512,1750,3262,4.5,9,13.5,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,Хендмейд и хобби,,non_flowers,,"10,066","20,732","30,798",1235,1127,2362,2.8333333,5.3333333,8.1666666,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,"Хендмейд, винтаж",,non_flowers,,,,0,4,1,5,,,0,,,,,0
2023,9,Q3,H2,russia,,organic_web,non_paid,N/A,,non_flowers,,,,0,,,0,,,0,,124793,,,124793
2023,9,Q3,H2,russia,,organic_web,non_paid,Комнатные растения,,non_flowers,,"519,630","473,166","992,796",16271,11043,27314,139.75,116.6666667,256.4166667,,,544,1501,2045
2023,9,Q3,H2,russia,,organic_web,non_paid,Цветы,,flowers,,"56,156,924","39,624,492","95,781,416",486026,454583,940609,18354.50003,11468.7333,29823.23333,,,28060,154766.5,182826.5
2023,9,Q3,H2,russia,,other,non_paid,Аксессуары,,non_flowers,,"3,861","1,575","5,436",1325,503,1828,4.5,1.5,6,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Вкусные наборы,,non_flowers,,"98,926","191,133","290,059",,,0,20.5416758,43.5833333,64.1250091,,,8065.477,4730,12795.477
2023,9,Q3,H2,russia,,other,non_paid,Воздушные шары,,non_flowers,,"218,502","529,274","747,776",,,0,72.6666658,164.9166598,237.5833256,,,9434.1667,2757.6666,12191.8333
2023,9,Q3,H2,russia,,other,non_paid,Декор,,non_flowers,,"53,654","111,744","165,398",3796,3790,7586,24.2619047,37.99999997,62.26190467,,,4326,3416.5,7742.5
2023,9,Q3,H2,russia,,other,non_paid,Для дома,,non_flowers,,51,"3,800","3,851",202,206,408,1,,1,,,3800,,3800
2023,9,Q3,H2,russia,,other,non_paid,Другое,,non_flowers,,,,0,19,11,30,,,0,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Зоотовары,,non_flowers,,,,0,50,40,90,,,0,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Канцелярские товары,,non_flowers,,,,0,75,69,144,,,0,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Картины,,non_flowers,,,"3,183","3,183",240,433,673,,1,1,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Книги,,non_flowers,,"1,430","4,027","5,457",78,75,153,1,2.5,3.5,,,,62.5,62.5
2023,9,Q3,H2,russia,,other,non_paid,Кондитерские и пекарни,,non_flowers,,"2,550,082","3,465,399","6,015,481",29947,43003,72950,1122.499963,1464.333366,2586.833329,196.76,,115644.3333,45523.163,161364.2563
2023,9,Q3,H2,russia,,other,non_paid,Косметика и парфюмерия,,non_flowers,,"44,689","51,849","96,538",872,992,1864,15.3333333,18.75,34.0833333,,,3345,607,3952
2023,9,Q3,H2,russia,,other,non_paid,Магазины чая и кофе,,non_flowers,,"89,597","62,456","152,053",1359,1095,2454,21.5,16.83333337,38.33333337,,,857,477.5,1334.5
2023,9,Q3,H2,russia,,other,non_paid,Обувь,,non_flowers,,,,0,2,21,23,,,0,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Одежда,,non_flowers,,,"7,786","7,786",503,267,770,,1,1,,,,864,864
2023,9,Q3,H2,russia,,other,non_paid,Одежда для детей,,non_flowers,,,"1,270","1,270",19,28,47,,0.5,0.5,,,,,0
2023,9,Q3,H2,russia,,other,non_paid,Подарочные сертификаты,,non_flowers,,"302,876","143,437","446,313",1268,865,2133,40,21,61,,,3590,2190,5780
2023,9,Q3,H2,russia,,other,non_paid,Посуда,,non_flowers,,"6,375","13,504","19,879",477,495,972,4.166667,3.3333333,7.5000003,,,3250,,3250
2023,9,Q3,H2,russia,,other,non_paid,Продукты и напитки,,non_flowers,,"6,542","27,072","33,614",783,778,1561,7.124990844,5.5,12.62499084,,,16069.52308,2058,18127.52308
2023,9,Q3,H2,russia,,other,non_paid,Съедобные букеты,,non_flowers,,"2,909,628","2,383,184","5,292,812",,,0,937.1666999,685.5833293,1622.750029,,,54714,12647.5,67361.5
2023,9,Q3,H2,russia,,other,non_paid,Товары для праздника,,non_flowers,,,"3,244","3,244",183,354,537,,2,2,,,,289.5,289.5
